30,0
904,0
2,0
45,0
914,0
22,0
16,0
69,0
2004,0
1406,0
18,0
1801,0
7,0
43,0
1412,0
1401,0
48,0
2214,0
44,0
931,0
72,0
10,0
95,0
101,0
63,0
3,0
108,0
2001,0
14,0
1601,0
949,0
953,0
73,0
940,0
1201,0
908,0
1219,0
951,0
58,0
46,0
75,0
94,0
932,0
922,0
909,0
4,0
21,0
74,0
910,0
2201,0
6,0
906,0
907,0
40,0
1,0
28,0
15,0
926,0
9,0
144,0
1226,0
42,0
145,0
903,0
5,0
66,0
927,0
128,0
140,0
51,0
8,0
915,0
162,0
59,0
1230,0
89,0
26,0
917,0
916,0
902,0
87,0
13,0
126,0
936,0
119,0
84,0
976,0
88,0
17,0
70,0
23,0
181,0
27,0
920,0
1645,0
1446,0
905,0
901,0
96,0
938,0
50,0
1849,0
90,0
929,0
115,0
939,0
1438,0
2065,0
78,0
34,0
76,0
921,0
12,0
994,0
964,0
213,0
222,0
85,0
67,0
208,1
192,1
32,1
2238,1
33,1
1216,1
47,1
918,1
249,1
1238,1
934,1
963,1
968,1
231,1
49,1
38,1
1885,1
52,1
972,1
127,1
234,1
957,1
