button,0.26625,0.051666666666666666,0.0475,0.028333333333333332,,,0
button,0.3225,0.051666666666666666,0.05375,0.028333333333333332,,,0
button,0.105,0.05333333333333334,0.04625,0.02666666666666667,,,0
button,0.16,0.05333333333333334,0.0475,0.02666666666666667,,,0
button,0.21625,0.05333333333333334,0.05125,0.02666666666666667,,,0
button,0.39375,0.05333333333333334,0.0575,0.028333333333333332,,,0
button,0.48375,0.05333333333333334,0.055,0.02666666666666667,,,0
button,0.53625,0.05333333333333334,0.04875,0.028333333333333332,,,0
button,0.59625,0.05333333333333334,0.0625,0.02666666666666667,,,0
button,0.65625,0.05333333333333334,0.04875,0.028333333333333332,,,0
undo,0.18375,0.09166666666666666,0.0325,0.043333333333333335,,,0
icon,0.2275,0.09166666666666666,0.03,0.043333333333333335,,,0
icon,0.26125,0.09166666666666666,0.0325,0.043333333333333335,,,0
icon,0.3825,0.09166666666666666,0.0325,0.043333333333333335,,,0
icon,0.53,0.09166666666666666,0.03125,0.043333333333333335,,,0
icon,0.29875,0.09333333333333334,0.03125,0.04666666666666667,,,0
icon,0.33125,0.09333333333333334,0.03375,0.043333333333333335,,,0
icon,0.42,0.09333333333333334,0.03125,0.041666666666666664,,,0
icon,0.8975,0.09333333333333334,0.03375,0.041666666666666664,,,0
icon,0.4575,0.095,0.03375,0.045,,,0
textbox,0.5975,0.095,0.05875,0.03333333333333333,,,0
icon,0.965,0.095,0.04125,0.04666666666666667,,,0
icon,0.01625,0.185,0.03,0.035,,,0
icon,0.015,0.205,0.03,0.03833333333333333,,,0
icon,0.01375,0.22333333333333333,0.02875,0.035,,,0
icon,0.015,0.25833333333333336,0.03,0.03666666666666667,,,0
icon,0.015,0.2966666666666667,0.03125,0.03833333333333333,,,0
icon,0.01375,0.325,0.02875,0.043333333333333335,,,0
icon,0.01375,0.3433333333333333,0.02875,0.043333333333333335,,,0
icon,0.01375,0.365,0.0275,0.041666666666666664,,,0
textarea,0.58875,0.36833333333333335,0.73625,0.43833333333333335,,,0
icon,0.01375,0.38333333333333336,0.02875,0.041666666666666664,,,0
icon,0.01375,0.4066666666666667,0.0275,0.045,,,0
icon,0.01375,0.425,0.0275,0.043333333333333335,,,0
icon,0.01375,0.44,0.02875,0.041666666666666664,,,0
tab,0.3675,0.5966666666666667,0.09375,0.03833333333333333,,,0
tab,0.47,0.5966666666666667,0.1225,0.03833333333333333,,,0
tab,0.24125,0.5983333333333334,0.0775,0.03666666666666667,,,0
tab,0.30625,0.5983333333333334,0.04875,0.03333333333333333,,,0
icon,0.01375,0.97,0.02875,0.043333333333333335,,,0
icon,0.05125,0.9716666666666667,0.03375,0.055,,,0
icon,0.89875,0.9716666666666667,0.035,0.04,,,0
combobox,0.6425,0.9733333333333334,0.06375,0.04,,,0
combobox,0.71125,0.9733333333333334,0.0625,0.04,,,0
icon,0.94,0.9733333333333334,0.03375,0.04,,,0
icon,0.98,0.9733333333333334,0.03125,0.041666666666666664,,,0
button,0.77,0.975,0.05125,0.035,,,0
button,0.835,0.975,0.0775,0.035,,,0
tab,0.46125,0.5966666666666667,0.10625,0.04,,,0
combobox,0.77,0.9733333333333334,0.0525,0.03833333333333333,,,0
icon,0.18375,0.09166666666666666,0.0325,0.043333333333333335,,,0
